# M_red = 0.333
# r   H0R/R  dR/R  d2R/R tot.
1.558846e+01   -2.445604e-03 4.987519e-04   -2.125216e-03 5.733730e-04   -4.044730e-04 9.745870e-04 -4.975294e-03 9.753791e-05
1.630951e+01   -9.236539e-04 8.711531e-04   -2.486290e-03 6.190283e-04   -1.785464e-04 7.909679e-04 -3.588491e-03 6.992135e-04
1.705872e+01   -5.018438e-04 1.138134e-03   -2.430063e-03 5.975324e-04   1.349341e-05 8.026880e-04 -2.918413e-03 1.343290e-03
1.783255e+01   -8.357832e-04 4.196029e-04   -2.084754e-03 6.165580e-04   3.172755e-04 7.101086e-04 -2.603262e-03 3.260523e-04
1.862794e+01   -7.006794e-04 2.046640e-04   -1.493536e-03 4.786929e-04   6.026460e-04 4.974798e-04 -1.591569e-03 1.858772e-04
1.944222e+01   1.178560e-03 9.127441e-04   -1.481721e-03 4.957681e-04   1.140063e-03 3.471013e-04 8.369022e-04 1.061411e-03
2.027313e+01   1.280141e-03 9.877670e-04   -1.751027e-03 1.936323e-04   1.503612e-03 1.943512e-04 1.032726e-03 9.870481e-04
2.111871e+01   3.441948e-04 5.974187e-04   -1.945151e-03 2.517071e-04   1.551076e-03 1.742398e-04 -4.988006e-05 1.714719e-04
2.197726e+01   -2.900559e-04 1.853922e-04   -1.460015e-03 5.931874e-04   9.280837e-04 9.805258e-05 -8.219872e-04 3.097426e-04
2.284732e+01   6.173446e-04 3.140019e-04   -1.067117e-03 5.994100e-04   4.319800e-04 2.725544e-04 -1.779258e-05 1.285372e-05
2.372762e+01   -6.485245e-04 2.942561e-04   -6.239279e-04 3.696752e-04   -1.082215e-05 1.468017e-04 -1.283275e-03 7.138265e-05
2.461707e+01   1.462251e-03 8.556881e-05   -3.441468e-04 3.556738e-04   9.468896e-05 2.495232e-04 1.212793e-03 1.917193e-04
2.551470e+01   2.115113e-03 5.487842e-04   6.581744e-05 5.913274e-04   1.129813e-04 2.728496e-04 2.293911e-03 8.672619e-04
2.641969e+01   -3.668094e-04 2.824522e-05   1.070468e-04 6.581101e-04   -1.428176e-05 2.560305e-04 -2.740444e-04 4.303248e-04
1.700000e+01   8.146458e-04 1.212605e-03   -2.558505e-03 6.024549e-04   -3.855874e-06 5.877511e-04 -1.747715e-03 1.227309e-03
1.772005e+01   6.810409e-04 2.101396e-04   -2.043643e-03 6.977819e-04   -4.358090e-05 5.880752e-04 -1.406183e-03 3.198463e-04
1.846619e+01   4.431551e-04 7.697813e-04   -1.603076e-03 8.149485e-04   3.405792e-04 5.955539e-04 -8.193421e-04 9.891759e-04
1.923538e+01   3.176066e-04 1.532021e-04   -1.135640e-03 7.533758e-04   7.088469e-04 4.980068e-04 -1.091861e-04 4.085711e-04
2.002498e+01   1.061306e-03 2.128267e-04   -1.284609e-03 7.476185e-04   1.249968e-03 4.118211e-04 1.026665e-03 5.486240e-04
2.083267e+01   1.915353e-03 5.463865e-04   -1.738175e-03 6.004415e-04   1.632740e-03 4.462453e-04 1.809918e-03 7.005827e-04
2.165641e+01   -6.996940e-04 2.340915e-04   -1.906516e-03 1.215224e-04   1.630921e-03 4.902783e-04 -9.752898e-04 6.028475e-04
2.249444e+01   -1.290971e-03 4.692947e-04   -1.453533e-03 2.709901e-04   1.254565e-03 1.496339e-04 -1.489938e-03 4.867071e-05
2.334524e+01   5.561245e-04 1.159946e-03   -8.497678e-04 2.616659e-04   7.950747e-04 1.998484e-04 5.014314e-04 1.098128e-03
2.420744e+01   9.889453e-04 3.292403e-04   -3.757454e-04 2.572486e-04   4.840061e-04 4.824893e-05 1.097206e-03 6.347378e-04
2.507987e+01   8.332413e-04 3.326737e-04   4.199935e-06 6.705908e-04   1.429090e-04 1.489554e-05 9.803503e-04 3.528127e-04
2.596151e+01   1.261325e-03 2.334646e-04   1.472856e-04 7.242701e-04   3.884572e-05 1.174841e-04 1.447456e-03 6.082895e-04
2.685144e+01   -1.198337e-03 5.387394e-04   -7.664390e-05 7.537690e-04   1.081748e-05 1.816069e-04 -1.264163e-03 3.966365e-04
1.841195e+01   8.398688e-04 1.684335e-03   -1.327134e-03 7.762022e-04   -2.666670e-04 3.247677e-04 -7.539324e-04 2.135769e-03
1.913113e+01   -5.050386e-04 1.602132e-03   -9.282646e-04 1.089559e-03   4.739944e-06 4.506184e-04 -1.428563e-03 2.241073e-03
1.987461e+01   -9.492319e-04 2.943417e-04   -6.298144e-04 1.183582e-03   3.903460e-04 5.623754e-04 -1.188700e-03 9.155481e-04
2.063977e+01   -6.327865e-04 1.442683e-04   -7.337195e-04 1.086728e-03   8.207890e-04 5.417895e-04 -5.457170e-04 6.892073e-04
2.142429e+01   9.018367e-04 1.199922e-03   -1.017600e-03 7.490579e-04   1.354294e-03 6.645600e-04 1.238530e-03 1.115424e-03
2.222611e+01   -1.677426e-04 1.332681e-03   -1.117968e-03 1.500694e-04   1.630352e-03 6.282424e-04 3.446413e-04 1.810854e-03
2.304344e+01   9.001454e-04 7.629516e-04   -7.795080e-04 2.100336e-04   1.509782e-03 3.553584e-04 1.630419e-03 1.328344e-03
2.387467e+01   8.468871e-04 1.234377e-03   -3.873541e-04 4.014861e-05   1.006236e-03 2.574599e-04 1.465769e-03 1.451688e-03
2.471841e+01   4.663078e-04 2.102239e-03   -6.646644e-05 7.577633e-04   5.499941e-04 4.008574e-04 9.498354e-04 1.745334e-03
2.557342e+01   -6.239727e-04 5.530125e-04   3.282584e-04 1.428052e-03   3.697270e-05 4.249780e-04 -2.587416e-04 4.500620e-04
2.643861e+01   -1.681143e-03 1.506934e-04   3.377413e-04 1.775331e-03   -2.375392e-04 3.882345e-04 -1.580941e-03 1.537789e-03
2.731300e+01   -1.732408e-03 5.796639e-04   9.239707e-05 1.934610e-03   -1.041778e-04 2.637690e-04 -1.744189e-03 2.250505e-03
1.982423e+01   -8.205909e-04 2.255224e-03   -5.191008e-04 1.184495e-03   3.498077e-06 4.431885e-04 -1.336194e-03 2.996530e-03
2.054264e+01   -3.591551e-04 1.535154e-03   -5.938200e-05 1.394316e-03   5.013792e-05 4.903331e-04 -3.683992e-04 2.439137e-03
2.128380e+01   -1.066303e-03 9.633032e-04   -1.076021e-05 1.294458e-03   3.190104e-04 4.772477e-04 -7.580532e-04 1.780514e-03
2.204541e+01   -2.390977e-04 1.014521e-04   -9.906469e-05 8.718949e-04   8.875797e-04 5.417588e-04 5.494174e-04 4.315881e-04
2.282542e+01   -8.728135e-05 6.156297e-04   -7.483944e-05 8.168592e-05   1.320327e-03 3.081939e-04 1.158206e-03 3.891218e-04
2.362202e+01   1.891599e-03 2.141795e-04   1.416392e-04 1.084265e-04   1.477641e-03 3.378334e-04 3.510879e-03 6.604394e-04
2.443358e+01   1.315761e-03 1.161529e-04   3.770512e-04 3.202417e-04   1.041630e-03 3.972442e-04 2.734443e-03 3.915045e-05
2.525866e+01   -3.528762e-05 9.297273e-05   5.804234e-04 8.613359e-04   4.190094e-04 5.232353e-04 9.641451e-04 2.451279e-04
2.609598e+01   7.735866e-04 2.940042e-04   7.745342e-04 1.595925e-03   -6.153499e-05 7.221034e-04 1.486586e-03 1.167826e-03
2.694439e+01   -6.539642e-04 1.113980e-03   7.418496e-04 1.950575e-03   -4.422728e-04 7.525301e-04 -3.543873e-04 2.312025e-03
2.780288e+01   1.238088e-03 1.280995e-03   6.507172e-04 2.127647e-03   -2.627829e-04 7.162938e-04 1.626023e-03 2.692348e-03
2.123676e+01   -1.232478e-03 5.616720e-04   7.347231e-04 1.635550e-03   -3.128492e-04 6.430483e-04 -8.106044e-04 4.308294e-04
2.195450e+01   -1.203319e-03 5.037127e-04   1.136016e-03 1.555853e-03   -1.638477e-04 7.650850e-04 -2.311508e-04 2.870556e-04
2.269361e+01   -8.357483e-04 1.884307e-04   1.044191e-03 9.825030e-04   1.888016e-04 6.787676e-04 3.972443e-04 1.153047e-04
2.345208e+01   7.028993e-04 6.896713e-04   1.087269e-03 2.772304e-04   6.986126e-04 4.586605e-04 2.488781e-03 5.082412e-04
2.422808e+01   3.176519e-03 5.752996e-04   1.134419e-03 2.518258e-04   1.159648e-03 5.101530e-04 5.470586e-03 3.169724e-04
2.501999e+01   1.589162e-03 8.619278e-04   1.326108e-03 5.523901e-04   6.932229e-04 6.090697e-04 3.608493e-03 8.052482e-04
2.582634e+01   4.419780e-04 1.456573e-03   1.193239e-03 1.024774e-03   1.062437e-04 7.871251e-04 1.741460e-03 1.694222e-03
2.664583e+01   1.376109e-03 5.061579e-04   9.428520e-04 1.419707e-03   -2.138546e-04 1.100134e-03 2.105106e-03 1.865844e-04
2.747726e+01   2.244113e-04 2.351417e-04   8.501394e-04 1.466919e-03   -6.099288e-04 1.142555e-03 4.646219e-04 8.922192e-05
2.831960e+01   1.669387e-03 1.783724e-03   9.632627e-04 1.540069e-03   -6.673656e-04 9.800884e-04 1.965284e-03 2.343704e-03
2.264950e+01   -6.922402e-04 7.476370e-05   1.773701e-03 1.490759e-03   -2.455400e-04 9.845343e-04 8.359204e-04 4.314608e-04
2.336664e+01   -7.790871e-04 9.198255e-04   1.963094e-03 1.009611e-03   -1.704302e-04 9.899884e-04 1.013577e-03 9.002028e-04
2.410394e+01   5.800428e-04 1.055296e-03   2.008146e-03 6.803716e-04   3.244755e-04 1.061738e-03 2.912665e-03 1.436662e-03
2.485961e+01   4.387358e-03 3.559122e-04   2.105796e-03 6.689830e-04   8.099658e-04 1.081668e-03 7.303120e-03 7.685972e-04
2.563201e+01   3.363208e-03 1.330312e-03   2.270767e-03 6.781215e-04   3.406008e-04 1.160785e-03 5.974576e-03 1.812976e-03
2.641969e+01   3.614292e-04 6.111101e-04   2.021580e-03 1.080622e-03   -3.242409e-04 1.246637e-03 2.058768e-03 7.771245e-04
2.722132e+01   1.963147e-04 5.351299e-04   1.352306e-03 1.263074e-03   -5.759433e-04 1.256306e-03 9.726772e-04 5.418985e-04
2.803569e+01   -1.912246e-04 6.968444e-04   1.297906e-03 1.226254e-03   -9.618813e-04 1.457197e-03 1.448004e-04 9.277875e-04
2.886174e+01   4.109935e-04 3.931032e-04   1.459299e-03 1.161357e-03   -1.127659e-03 1.351829e-03 7.426339e-04 2.026313e-04
2.406242e+01   -1.189811e-03 2.505420e-04   2.580021e-03 9.282263e-04   -3.529079e-04 1.209273e-03 1.037302e-03 5.315890e-04
2.477902e+01   3.045989e-04 9.366745e-04   2.842791e-03 9.621966e-04   -2.676435e-04 1.490796e-03 2.879747e-03 1.465274e-03
2.551470e+01   3.114549e-03 7.503567e-04   2.929524e-03 6.208300e-04   -1.577531e-05 1.240520e-03 6.028297e-03 1.370047e-03
2.626785e+01   2.738944e-03 1.095196e-03   2.989368e-03 3.049224e-04   -4.481501e-04 8.521096e-04 5.280162e-03 5.480091e-04
2.703701e+01   1.694515e-03 3.256532e-04   2.970274e-03 4.475578e-04   -9.860980e-04 7.073191e-04 3.678691e-03 6.589189e-05
2.782086e+01   -1.066044e-03 1.573625e-03   2.279519e-03 4.360663e-04   -1.412916e-03 6.347277e-04 -1.994412e-04 1.374963e-03
2.861818e+01   -1.295376e-03 1.731668e-04   2.275530e-03 5.405759e-04   -1.901049e-03 9.001171e-04 -9.208960e-04 1.863744e-04
2.942788e+01   -1.150740e-03 1.055500e-03   2.303344e-03 4.012166e-04   -2.010652e-03 7.583792e-04 -8.580483e-04 6.983376e-04
2.547548e+01   -1.975019e-03 1.125762e-03   3.402742e-03 7.744170e-04   -1.019111e-03 1.381246e-03 4.086118e-04 1.732592e-03
2.619160e+01   3.098348e-04 1.468338e-03   3.493017e-03 1.240752e-04   -1.034086e-03 9.108777e-04 2.768765e-03 2.255141e-03
2.692582e+01   3.413987e-04 1.230958e-04   3.531623e-03 2.929623e-04   -1.295225e-03 3.567265e-04 2.577797e-03 5.265929e-04
2.767671e+01   5.396100e-04 1.571442e-03   3.438736e-03 5.579133e-04   -1.573532e-03 4.238483e-05 2.404814e-03 1.055914e-03
2.844293e+01   -2.051718e-03 1.297979e-03   2.663058e-03 8.932525e-04   -1.910900e-03 1.155852e-04 -1.299560e-03 5.203117e-04
2.922328e+01   -2.259486e-03 1.944269e-03   2.291778e-03 9.173907e-04   -2.114224e-03 2.311928e-04 -2.081933e-03 1.258071e-03
3.001666e+01   -2.980327e-03 2.474283e-03   2.162101e-03 9.053187e-04   -2.234931e-03 3.007156e-04 -3.053158e-03 1.869680e-03
2.688866e+01   9.007297e-04 1.993715e-03   3.673762e-03 3.985577e-04   -1.411098e-03 5.637307e-04 3.163394e-03 2.956004e-03
2.760435e+01   -3.039481e-04 6.612957e-04   3.505988e-03 7.574155e-04   -1.654299e-03 1.045566e-04 1.547741e-03 1.523268e-03
2.833725e+01   -1.903044e-04 5.674096e-04   3.190435e-03 1.411894e-03   -1.699888e-03 3.565537e-04 1.300243e-03 4.879307e-04
2.908608e+01   -2.044307e-03 1.707168e-04   2.446369e-03 2.179348e-03   -1.816853e-03 5.208846e-04 -1.414791e-03 1.829180e-03
2.984962e+01   -1.910404e-03 5.826452e-04   1.596045e-03 2.340137e-03   -1.536027e-03 7.294292e-04 -1.850386e-03 1.028062e-03
3.062679e+01   -1.134620e-03 2.913613e-03   1.203106e-03 2.137368e-03   -1.366237e-03 7.895893e-04 -1.297751e-03 1.565834e-03
2.830194e+01   1.935661e-03 2.454370e-05   3.244534e-03 1.441384e-03   -1.462214e-03 1.737518e-04 3.717981e-03 1.243089e-03
2.901724e+01   2.572206e-03 1.693210e-04   2.764375e-03 2.453689e-03   -1.201598e-03 4.527278e-04 4.134983e-03 2.170282e-03
2.974895e+01   8.644704e-04 1.207538e-03   1.674247e-03 3.180287e-03   -1.007186e-03 5.617355e-04 1.531531e-03 3.826090e-03
3.049590e+01   -6.554100e-04 7.742033e-04   8.542604e-04 3.555661e-03   -9.156475e-04 7.457587e-04 -7.167971e-04 3.584106e-03
3.125700e+01   7.348758e-05 4.053630e-04   3.456984e-04 3.454506e-03   -6.779229e-04 6.545920e-04 -2.587370e-04 3.205277e-03
2.971532e+01   3.629840e-03 7.266889e-04   1.774524e-03 3.570055e-03   -6.371513e-04 6.979463e-04 4.767213e-03 3.598798e-03
3.043025e+01   2.649667e-03 9.137415e-04   5.551759e-04 4.040911e-03   -4.885238e-04 7.337329e-04 2.716319e-03 4.220919e-03
3.116087e+01   -2.704106e-04 1.200630e-03   -2.122739e-04 4.361981e-03   -6.161634e-04 8.606090e-04 -1.098848e-03 4.702002e-03
3.190611e+01   -2.646606e-03 1.261836e-03   -6.193681e-04 4.426182e-03   -6.813139e-04 7.672251e-04 -3.947288e-03 4.920793e-03
3.112876e+01   3.032923e-03 1.040029e-03   -9.537254e-04 4.552386e-03   -5.540219e-05 9.403173e-04 2.023795e-03 4.652098e-03
3.184337e+01   -1.547301e-04 1.079104e-03   -1.689499e-03 4.873206e-03   -1.704144e-04 1.139451e-03 -2.014643e-03 4.812858e-03
3.257299e+01   -1.664154e-03 7.807784e-04   -1.996963e-03 4.858050e-03   -1.335805e-04 1.019516e-03 -3.794697e-03 4.619313e-03
3.254228e+01   -1.454276e-03 1.786964e-03   -2.598572e-03 4.929842e-03   1.258031e-04 1.214088e-03 -3.927045e-03 5.502718e-03
3.325658e+01   -2.337070e-03 9.704253e-05   -3.032418e-03 4.845596e-03   4.338524e-04 1.254053e-03 -4.935636e-03 3.494500e-03
3.395585e+01   -2.084203e-03 3.029224e-03   -3.604461e-03 4.881876e-03   9.480925e-04 1.546944e-03 -4.740571e-03 3.057073e-04
3.464102e+00   6.771362e-02 2.692841e-03   1.566312e-04 5.113420e-04   -2.973274e-04 4.348712e-04 6.757292e-02 3.639054e-03
4.123106e+00   3.683719e-02 1.226767e-03   -8.044726e-04 1.133773e-03   -2.692730e-04 2.029690e-04 3.576344e-02 2.157571e-03
4.898979e+00   1.493922e-02 5.974863e-04   -1.911402e-03 1.276759e-03   -3.116651e-04 6.745927e-04 1.271615e-02 1.199652e-03
5.744563e+00   1.473983e-03 1.161095e-03   -2.877437e-03 1.155213e-03   -5.270009e-04 7.613593e-04 -1.930455e-03 1.554949e-03
6.633250e+00   -6.319124e-03 1.693470e-03   -3.408274e-03 1.307924e-03   -1.006861e-03 8.677441e-04 -1.073426e-02 2.133649e-03
7.549834e+00   -9.038404e-03 3.144866e-03   -3.690086e-03 1.088781e-03   -1.411839e-03 6.630388e-04 -1.414033e-02 3.570609e-03
8.485281e+00   -1.079437e-02 6.890717e-04   -3.994659e-03 7.629413e-04   -1.589736e-03 7.604592e-04 -1.637876e-02 6.865896e-04
9.433981e+00   -1.064077e-02 1.449710e-03   -3.972303e-03 4.560704e-04   -1.478807e-03 7.267498e-04 -1.609188e-02 1.720390e-03
1.039230e+01   -7.924639e-03 2.804625e-03   -4.247373e-03 3.564780e-04   -8.821130e-04 7.941238e-04 -1.305412e-02 3.242270e-03
1.135782e+01   -5.075470e-03 2.961815e-03   -4.412942e-03 2.543963e-04   -4.781775e-04 8.801951e-04 -9.966590e-03 3.587614e-03
1.232883e+01   -3.996237e-03 8.063025e-04   -3.969233e-03 7.286755e-05   -4.951894e-04 3.906022e-04 -8.460659e-03 1.269772e-03
1.330413e+01   -2.946648e-03 1.521634e-04   -3.456948e-03 9.472848e-05   -2.048115e-04 9.496595e-05 -6.608408e-03 3.418579e-04
1.428286e+01   1.383610e-03 1.934943e-03   -2.527702e-03 5.493855e-04   1.255009e-04 4.574508e-05 -1.018591e-03 2.530073e-03
1.526434e+01   2.873153e-03 1.233312e-03   -2.143538e-03 1.117544e-03   2.480750e-04 2.365048e-05 9.776899e-04 2.327205e-03
1.624808e+01   1.548960e-03 2.642705e-03   -1.851906e-03 1.102395e-03   1.438047e-04 1.042722e-04 -1.591415e-04 3.849372e-03
1.723369e+01   9.543294e-04 9.354485e-04   -9.304659e-04 2.685610e-04   -2.497562e-04 8.095998e-06 -2.258927e-04 1.212106e-03
1.822087e+01   3.143444e-04 1.522197e-03   -3.536662e-04 1.051307e-03   -2.541087e-04 9.517019e-05 -2.934305e-04 2.668674e-03
1.920937e+01   -1.095878e-03 2.154812e-03   -2.284769e-04 2.358634e-03   -4.842643e-04 4.544719e-05 -1.808619e-03 4.558893e-03
2.019901e+01   -1.725900e-03 1.012893e-03   3.837133e-04 3.735753e-03   -7.951037e-04 1.514037e-04 -2.137290e-03 4.597242e-03
2.118962e+01   2.755255e-04 1.372322e-03   1.189137e-03 5.569318e-03   -7.031161e-04 5.910719e-04 7.615464e-04 6.350568e-03
2.218107e+01   4.711125e-04 2.008465e-03   1.863275e-03 6.563762e-03   -9.276368e-04 7.037963e-04 1.406751e-03 7.868430e-03
2.317326e+01   1.202850e-03 1.433727e-03   2.224480e-03 7.277397e-03   -8.982577e-04 1.170404e-03 2.529072e-03 7.540720e-03
2.416609e+01   1.117433e-03 5.660424e-04   2.422646e-03 7.857995e-03   -1.154701e-03 1.729133e-03 2.385378e-03 5.562819e-03
4.690416e+00   1.843444e-02 1.788116e-03   -1.595928e-03 1.390170e-03   -2.339098e-04 3.982753e-04 1.660460e-02 2.780011e-03
5.385165e+00   6.010184e-03 1.734429e-03   -2.228964e-03 1.327948e-03   -2.489414e-04 6.804922e-04 3.532279e-03 2.381884e-03
6.164414e+00   -2.558918e-03 8.894362e-04   -2.958346e-03 1.020684e-03   -4.368616e-04 7.331050e-04 -5.954125e-03 1.177015e-03
7.000000e+00   -7.722385e-03 2.515980e-04   -3.417235e-03 1.006695e-03   -8.316391e-04 8.033520e-04 -1.197126e-02 4.549413e-04
7.874008e+00   -9.176949e-03 6.723260e-04   -3.661049e-03 8.988710e-04   -1.138554e-03 6.874199e-04 -1.397655e-02 8.837771e-04
8.774964e+00   -9.138688e-03 4.195844e-04   -3.725071e-03 5.671313e-04   -1.369521e-03 5.401229e-04 -1.423328e-02 3.925759e-04
9.695360e+00   -8.510184e-03 2.592240e-05   -3.652501e-03 3.101895e-04   -1.365651e-03 4.539517e-04 -1.352834e-02 1.178398e-04
1.063015e+01   -7.442396e-03 1.592214e-03   -3.871213e-03 4.636512e-05   -1.036735e-03 4.935541e-04 -1.235034e-02 2.039403e-03
1.157584e+01   -4.739425e-03 2.508840e-03   -3.799902e-03 5.445492e-05   -8.582023e-04 6.277641e-04 -9.397529e-03 3.191059e-03
1.252996e+01   -4.285360e-03 2.246025e-03   -3.481602e-03 2.084855e-04   -9.715978e-04 5.173248e-04 -8.738560e-03 2.971835e-03
1.349074e+01   -3.765527e-03 1.151840e-03   -3.344200e-03 1.661395e-04   -5.708557e-04 4.998897e-04 -7.680583e-03 1.485591e-03
1.445683e+01   3.568423e-05 6.314256e-04   -2.673897e-03 5.495607e-04   -2.038284e-04 2.655909e-04 -2.842041e-03 9.153954e-04
1.542725e+01   -3.547366e-04 8.164926e-04   -2.489751e-03 8.495261e-04   -1.180319e-04 3.382946e-05 -2.962520e-03 1.632189e-03
1.640122e+01   -2.745642e-04 1.755384e-03   -2.092806e-03 6.632549e-04   -2.201536e-05 2.286400e-04 -2.389386e-03 2.647279e-03
1.737815e+01   2.431665e-04 1.378319e-03   -8.711917e-04 2.461331e-04   -3.818168e-04 3.467454e-04 -1.009842e-03 1.478931e-03
1.835756e+01   7.181973e-04 3.833091e-04   -4.993823e-05 1.412516e-03   -4.619547e-04 2.950815e-04 2.063044e-04 7.341252e-04
1.933908e+01   -4.614186e-04 5.222367e-04   2.959920e-04 2.600174e-03   -7.082526e-04 3.046654e-04 -8.736791e-04 1.773272e-03
2.032240e+01   -3.626957e-04 1.101462e-05   6.466408e-04 3.795532e-03   -7.858939e-04 2.454252e-04 -5.019487e-04 3.539092e-03
2.130728e+01   2.692978e-03 2.371295e-03   1.079986e-03 5.084442e-03   -3.956377e-04 4.041534e-04 3.377326e-03 7.051583e-03
2.229350e+01   1.875436e-03 1.556333e-03   1.532087e-03 5.773309e-03   -5.169571e-04 6.023914e-04 2.890566e-03 6.727250e-03
2.328089e+01   1.310940e-03 1.311443e-03   1.716194e-03 6.355373e-03   -4.606480e-04 8.648924e-04 2.566486e-03 6.801924e-03
2.426932e+01   1.780419e-03 1.339113e-03   1.805850e-03 6.691450e-03   -5.671233e-04 1.113829e-03 3.019147e-03 6.916734e-03
6.000000e+00   5.631013e-04 1.916951e-03   -2.584303e-03 1.307831e-03   -1.714483e-04 8.341770e-04 -2.192650e-03 2.390605e-03
6.708204e+00   -5.791332e-03 1.504030e-03   -3.129299e-03 1.085718e-03   -3.513738e-04 8.510721e-04 -9.272005e-03 1.738676e-03
7.483315e+00   -7.993345e-03 2.715531e-04   -3.523860e-03 9.860010e-04   -5.760274e-04 8.796330e-04 -1.209323e-02 3.779211e-04
8.306624e+00   -7.241052e-03 6.979487e-04   -3.770841e-03 7.999543e-04   -6.916211e-04 8.158923e-04 -1.170351e-02 7.138866e-04
9.165151e+00   -7.359301e-03 4.506513e-04   -3.663730e-03 4.902804e-04   -1.038043e-03 5.958908e-04 -1.206107e-02 5.562617e-04
1.004988e+01   -6.863621e-03 5.402294e-04   -3.524779e-03 2.689298e-04   -1.135131e-03 4.074175e-04 -1.152353e-02 4.017417e-04
1.095445e+01   -4.885991e-03 1.305514e-03   -3.434398e-03 1.073193e-04   -9.738937e-04 5.053291e-04 -9.294283e-03 1.703523e-03
1.187434e+01   -3.008689e-03 1.178210e-03   -3.153614e-03 6.002466e-05   -1.032422e-03 6.410842e-04 -7.194726e-03 1.759270e-03
1.280625e+01   -4.673348e-03 1.594009e-03   -2.994581e-03 3.303247e-05   -1.241921e-03 6.388685e-04 -8.909851e-03 2.199845e-03
1.374773e+01   -1.924447e-03 1.659319e-03   -3.134662e-03 1.039882e-04   -6.265962e-04 4.739402e-04 -5.685705e-03 2.029271e-03
1.469694e+01   -4.338505e-05 6.239569e-04   -2.698117e-03 2.825706e-04   -3.503843e-04 2.592249e-04 -3.091887e-03 6.006112e-04
1.565248e+01   -1.386401e-03 3.118126e-04   -2.543065e-03 3.637600e-04   -3.607923e-04 7.564861e-05 -4.290258e-03 7.512213e-04
1.661325e+01   -1.237943e-03 8.827427e-04   -2.061050e-03 2.442533e-04   -2.342939e-04 3.040623e-04 -3.533287e-03 1.431058e-03
1.757840e+01   -4.017249e-04 2.177492e-03   -9.703323e-04 3.621564e-04   -4.453219e-04 5.127048e-04 -1.817379e-03 2.328040e-03
1.854724e+01   1.715894e-04 1.969490e-03   -2.567752e-04 1.499506e-03   -4.778932e-04 6.242603e-04 -5.630790e-04 1.094244e-03
1.951922e+01   7.302066e-04 6.749822e-04   3.495682e-04 2.764682e-03   -6.056096e-04 6.172410e-04 4.741652e-04 1.472459e-03
2.049390e+01   7.906915e-04 3.381770e-04   6.778426e-04 3.956133e-03   -6.326100e-04 5.461555e-04 8.359241e-04 3.071800e-03
2.147091e+01   2.677467e-03 2.130707e-04   8.634368e-04 4.655968e-03   -3.728182e-04 6.208650e-04 3.168085e-03 3.822033e-03
2.244994e+01   1.086617e-03 1.070866e-03   1.214039e-03 4.956633e-03   -4.728394e-04 5.865565e-04 1.827816e-03 5.440943e-03
2.343075e+01   1.792801e-03 1.385802e-03   1.446808e-03 5.414912e-03   -2.047419e-04 7.585010e-04 3.034867e-03 6.042213e-03
2.441311e+01   3.661078e-03 8.414674e-04   1.612151e-03 5.764812e-03   -1.130804e-04 1.040677e-03 5.160149e-03 5.565602e-03
7.348469e+00   -7.923570e-03 1.585685e-04   -3.305026e-03 9.504853e-04   -4.767225e-04 8.761985e-04 -1.170532e-02 2.328553e-04
8.062258e+00   -8.056584e-03 1.385590e-04   -3.522311e-03 8.479364e-04   -6.134565e-04 8.142837e-04 -1.219235e-02 1.049063e-04
8.831761e+00   -7.827028e-03 3.543159e-04   -3.671481e-03 7.923749e-04   -7.433083e-04 8.572055e-04 -1.224182e-02 4.191466e-04
9.643651e+00   -7.529024e-03 6.724325e-04   -3.801145e-03 4.360917e-04   -9.843545e-04 6.679077e-04 -1.231452e-02 9.042485e-04
1.048809e+01   -7.373030e-03 1.413160e-05   -3.595059e-03 2.166926e-04   -1.090380e-03 4.631566e-04 -1.205847e-02 2.323325e-04
1.135782e+01   -3.867156e-03 3.228118e-04   -3.101147e-03 2.112765e-04   -8.215526e-04 4.265547e-04 -7.789856e-03 5.380901e-04
1.224745e+01   -2.351746e-03 1.196183e-03   -2.581675e-03 2.991516e-04   -9.181837e-04 6.034848e-04 -5.851605e-03 1.500516e-03
1.315295e+01   -2.472998e-03 8.890953e-04   -2.575841e-03 3.100446e-04   -9.385932e-04 5.559025e-04 -5.987433e-03 1.134953e-03
1.407125e+01   -1.318974e-03 2.468850e-04   -2.806679e-03 8.174000e-05   -4.524809e-04 2.091767e-04 -4.578135e-03 3.743216e-04
1.500000e+01   -1.149103e-03 6.845145e-04   -2.408245e-03 2.130034e-04   -4.343836e-04 1.746887e-04 -3.991732e-03 6.461999e-04
1.593738e+01   -8.878854e-04 6.564594e-04   -2.367156e-03 3.859545e-04   -3.554172e-04 4.377276e-05 -3.610459e-03 9.986411e-04
1.688194e+01   -3.569698e-04 5.224152e-04   -1.944163e-03 3.068721e-04   -1.357155e-04 9.568940e-05 -2.436848e-03 7.335979e-04
1.783255e+01   8.689122e-04 2.141486e-03   -1.200140e-03 4.038963e-04   -7.034969e-05 2.285031e-04 -4.015775e-04 1.966093e-03
1.878829e+01   -1.317846e-05 2.303286e-03   -6.255161e-04 1.372391e-03   -2.279021e-04 4.472694e-04 -8.665967e-04 1.378164e-03
1.974842e+01   5.872587e-04 3.136648e-04   -7.690347e-05 2.344604e-03   -4.346574e-04 3.583698e-04 7.569785e-05 1.672569e-03
2.071232e+01   9.562801e-04 2.050868e-03   1.890533e-04 3.436640e-03   -4.664085e-04 3.360629e-04 6.789250e-04 5.151445e-03
